,Bal,Brick,Dist,District,Floor,Kitsp,Lat,Link,Livesp,Lon,Metrdist,New,Nfloors,Price,Price_duplicate,Rem,Rooms,Small_district,Stname,Tel,Totsp,Walk
1,0,0,265.354146452,3,2,19.5,55.721539,http://www.cian.ru/rent/flat/151591544/,7.5,37.826224,8,1,9,25000.0,25000.0,косметический,1,Вешняки,Выхино,0,37.5,1
2,1,0,593.339552903,4,3,30.0,55.678565,http://www.cian.ru/rent/flat/151578811/,,37.723987,5,,9,33000.0,33000.0,косметический,2,Печатники,Печатники,0,45.0,0
3,1,0,395.966477992,8,6,38.0,55.806287,http://www.cian.ru/rent/flat/151056111/,,37.417994,10,,14,33000.0,33000.0,косметический,2,Строгино,Строгино,0,54.0,0
4,0,1,1295.17498045,5,4,19.0,55.584095,http://www.cian.ru/rent/flat/151345448/,,37.661976,10,1,12,26000.0,26000.0,евроремонт,1,Бирюлёво Восточное,Царицыно,0,35.0,0
5,1,0,399.52647426,1,4,20.0,55.806737,http://www.cian.ru/rent/flat/151563171/,,37.575136,7,1,5,38000.0,38000.0,косметический,1,Савёловский,Дмитровская,0,40.0,1
6,1,1,454.134859786,1,4,28.0,55.813632,http://www.cian.ru/rent/flat/151435512/,,37.560511,12,,5,35000.0,35000.0,косметический,2,Тимирязевский,Тимирязевская,0,42.0,1
7,1,0,968.854386002,2,7,22.0,55.877945,http://www.cian.ru/rent/flat/151129885/,,37.686141,15,1,12,25000.0,25000.0,косметический,1,Лосиноостровский,Бабушкинская,0,38.0,1
8,1,1,295.209137612,4,4,20.0,55.717655,http://www.cian.ru/rent/flat/151384049/,12.0,37.779422,13,,12,25000.0,25000.0,евроремонт,1,Рязанский,Рязанский проспект,0,42.0,1
9,1,1,67.1515641139,0,3,,55.747191,http://www.cian.ru/rent/flat/149317674/,35.0,37.602229,9,1,5,,~ 389 492 руб,,5,Хамовники,Арбатская,0,166.5,1
10,1,0,982.458386461,5,12,20.0,55.626645,http://www.cian.ru/rent/flat/151601454/,10.0,37.726484,15,1,14,25000.0,25000.0,косметический,1,Орехово-Борисово Северное,Домодедовская,0,40.0,1
11,1,1,136.419721248,0,2,30.0,55.738252,http://www.cian.ru/rent/flat/151072971/,,37.61344,5,,10,150000.0,150000.0,,2,Якиманка,Полянка,0,52.0,1
12,1,0,1300.58416203,5,7,20.1,55.583352,http://www.cian.ru/rent/flat/150955281/,11.0,37.694729,15,1,24,25000.0,25000.0,косметический,1,Бирюлёво Восточное,Царицыно,0,41.6,0
13,1,0,319.751204825,8,13,18.0,55.796638,http://www.cian.ru/rent/flat/151588719/,,37.459271,5,,16,21500.0,21500.0,косметический,1,Щукино,Октябрьское поле,0,40.0,0
14,1,0,349.447412722,4,3,36.0,55.710585,http://www.cian.ru/rent/flat/151610324/,,37.815229,8,1,9,40000.0,40000.0,косметический,2,Выхино-Жулебино,Выхино,0,50.0,1
15,1,0,1352.72683982,5,4,29.0,55.576177,http://www.cian.ru/rent/flat/151455764/,,37.658562,5,1,12,20000.0,20000.0,косметический,2,Бирюлёво Западное,Пражская,0,46.0,0
16,1,1,171.484867975,8,17,64.0,55.777783,http://www.cian.ru/rent/flat/151111913/,20.0,37.465748,5,1,18,140000.0,140000.0,евроремонт,3,Хорошёво-Мнёвники,Полежаевская,0,137.0,0
17,1,1,0.965131327772,0,9,80.0,55.755707,http://www.cian.ru/rent/flat/150159349/,14.0,37.568857,10,,14,280000.0,280000.0,евроремонт,4,Пресненский,Краснопресненская,0,125.0,1
18,0,1,151.64246238,0,8,,55.775251,http://www.cian.ru/rent/flat/147871458/,45.0,37.618399,5,1,9,250000.0,250000.0,,4,Тверской,Цветной бульвар,0,112.0,1
19,1,0,985.374538209,1,4,20.0,55.87999,http://www.cian.ru/rent/flat/151381876/,10.0,37.527561,,,17,27000.0,27000.0,косметический,1,Дмитровский,,0,40.0,
20,1,1,642.592355389,8,2,67.0,55.837318,http://www.cian.ru/rent/flat/150672547/,30.0,37.357007,15,1,3,100000.0,100000.0,дизайнерский,3,Митино,Митино,0,110.0,1
