,Bal,Brick,Dist,District,Floor,Kitsp,Lat,Link,Livesp,Lon,Metrdist,New,Nfloors,Price,Price_duplicate,Rem,Rooms,Small_district,Stname,Tel,Totsp,Walk
4001,1,0,572.886636211,6,6,40.0,55.681265,http://www.cian.ru/rent/flat/151433270/,11.0,37.582403,15,,17,85000.0,85000.0,евроремонт,2,Академический,Академическая,0,82.0,1
4002,1,0,807.960089999,8,12,33.0,55.857968,http://www.cian.ru/rent/flat/151248059/,10.0,37.345742,7,,17,35000.0,35000.0,,2,Митино,Пятницкое шоссе,0,54.0,1
4003,0,0,217.256978659,0,3,,55.727785,http://www.cian.ru/rent/flat/149275946/,,37.63394,5,1,7,250000.0,250000.0,,3,Замоскворечье,Павелецкая,0,136.0,1
4004,1,0,284.174720112,8,13,400.0,55.792124,http://www.cian.ru/rent/flat/148532357/,25.0,37.484092,10,1,15,750000.0,750000.0,евроремонт,6,Щукино,Октябрьское поле,0,465.0,1
4005,1,0,911.037668991,8,12,34.0,55.870779,http://www.cian.ru/rent/flat/149917792/,10.0,37.44135,5,,25,70000.0,70000.0,,2,Северное Тушино,Планерная,0,72.0,1
4006,1,0,870.393683044,1,9,48.0,55.865733,http://www.cian.ru/rent/flat/150907574/,,37.488242,15,,9,45000.0,45000.0,евроремонт,3,Ховрино,Речной вокзал,0,60.0,1
4007,1,1,257.639576406,8,4,60.0,55.788753,http://www.cian.ru/rent/flat/151486278/,14.0,37.49117,8,,14,100000.0,100000.0,евроремонт,4,Щукино,Октябрьское поле,0,136.0,1
4008,1,1,347.181068328,1,7,49.0,55.800114,http://www.cian.ru/rent/flat/151020499/,10.0,37.503576,13,1,8,59000.0,59000.0,евроремонт,2,Сокол,Сокол,0,65.0,1
4009,1,0,224.602382276,3,8,,55.726832,http://www.cian.ru/rent/flat/151563746/,,37.812004,10,1,14,30000.0,30000.0,,1,Вешняки,Выхино,0,35.0,1
4010,0,0,842.307962544,2,4,19.0,55.862242,http://www.cian.ru/rent/flat/151425106/,6.1,37.666629,12,,9,29000.0,29000.0,косметический,1,Бабушкинский,Бабушкинская,0,33.0,1
4011,1,0,513.79181771,3,7,28.0,55.821148,http://www.cian.ru/rent/flat/150594031/,,37.827922,,1,9,30000.0,30000.0,косметический,2,Гольяново,,0,38.0,
4012,0,1,241.51664431,0,11,40.0,55.786703,http://www.cian.ru/rent/flat/149118922/,,37.617474,9,,14,150000.0,150000.0,дизайнерский,2,Мещанский,Достоевская,0,56.7,1
4013,1,0,1882.34339935,6,15,20.0,55.501896,http://www.cian.ru/rent/flat/151565986/,,37.599238,20,,24,20000.0,20000.0,евроремонт,1,Южное Бутово,Бульвар Дмитрия Донского,0,40.0,0
4014,0,1,142.048400679,7,33,54.0,55.774026,http://www.cian.ru/rent/flat/148705739/,20.0,37.467221,10,,40,100000.0,100000.0,дизайнерский,3,Хорошёво-Мнёвники,Полежаевская,0,90.0,0
4015,0,1,55.3520718418,0,7,51.0,55.748711,http://www.cian.ru/rent/flat/150787903/,30.0,37.578514,5,1,15,169000.0,169000.0,дизайнерский,2,Арбат,Смоленская,0,81.0,1
4016,1,0,86.2196831696,3,5,20.0,55.744733,http://www.cian.ru/rent/flat/151604047/,,37.86946,1,,17,30000.0,30000.0,,1,Новокосино,Новокосино,0,40.0,1
4017,1,0,599.311566692,7,3,36.0,55.831893,http://www.cian.ru/rent/flat/150976490/,14.0,37.349713,20,,12,35000.0,35000.0,косметический,2,Митино,Митино,0,60.0,1
4018,1,0,286.167371921,1,6,18.0,55.792377,http://www.cian.ru/rent/flat/150849860/,,37.581065,6,1,9,32000.0,32000.0,косметический,1,Савёловский,Савеловская,0,35.0,1
4019,1,,20.7288468493,0,4,31.0,55.758493,http://www.cian.ru/rent/flat/144173853/,13.0,37.613198,5,,8,120000.0,120000.0,евроремонт,2,,Охотный ряд,0,56.0,1
4020,0,1,228.743730692,8,20,30.0,55.785078,http://www.cian.ru/rent/flat/150805608/,25.0,37.464886,20,,25,100000.0,100000.0,,3,Хорошёво-Мнёвники,Октябрьское поле,0,60.0,1
4021,1,1,355.621961207,5,9,20.0,55.709779,http://www.cian.ru/rent/flat/151616158/,10.0,37.639258,14,,16,26000.0,26000.0,косметический,1,Даниловский,Тульская,0,40.0,1
4022,1,0,122.903028096,3,6,39.0,55.77158,http://www.cian.ru/rent/flat/150946196/,,37.83916,10,,9,40000.0,40000.0,евроремонт,2,Ивановское,Новогиреево,0,53.0,0
4023,1,0,363.048039643,3,3,28.0,55.802123,http://www.cian.ru/rent/flat/151204129/,,37.816495,15,,5,30000.0,30000.0,,2,Восточное Измайлово,Первомайская,0,45.0,1
4024,1,1,106.470231091,0,2,100.0,55.769479,http://www.cian.ru/rent/flat/148845989/,20.0,37.622738,3,,4,270000.0,270000.0,евроремонт,3,Мещанский,Цветной бульвар,0,129.0,1
4025,1,,1028.49098919,2,7,20.0,55.885322,http://www.cian.ru/rent/flat/151499007/,,37.606101,2,,12,28000.0,28000.0,косметический,1,,Бибирево,0,38.0,1
4026,1,0,907.289871582,1,10,20.0,55.870314,http://www.cian.ru/rent/flat/151379859/,,37.557547,5,,17,26000.0,26000.0,косметический,1,Бескудниковский,Петровско-Разумовская,0,34.0,0
